		Locus1	Locus2	Locus3	Locus4	Locus5	Locus6	Locus7	Locus8	Locus9	Locus10	Locus11	Locus12	Locus13	Locus14	Locus15	Locus16	Locus17	Locus18	Locus19	Locus20	Locus21	Locus22	Locus23	Locus24	Locus25	Locus26	Locus27	Locus28	Locus29	Locus30	Locus31	Locus32	Locus33	Locus34	Locus35	Locus36	Locus37	Locus38	Locus39	Locus40	Locus41	Locus42	Locus43	Locus44	Locus45	Locus46	Locus47	Locus48	Locus49	Locus50	Locus51	Locus52	Locus53	Locus54	Locus55	Locus56	Locus57	Locus58	Locus59	Locus60	Locus61	Locus62	Locus63	Locus64	Locus65	Locus66	Locus67	Locus68	Locus69	Locus70	Locus71	Locus72	Locus73	Locus74	Locus75	Locus76	Locus77	Locus78	Locus79	Locus80	Locus81	Locus82	Locus83	Locus84	Locus85	Locus86	Locus87	Locus88	Locus89	Locus90	Locus91	Locus92	Locus93	Locus94	Locus95	Locus96	Locus97	Locus98	Locus99	Locus100	Locus101	Locus102	Locus103	Locus104	Locus105	Locus106	Locus107	Locus108	Locus109	Locus110	Locus111	Locus112	Locus113	Locus114	Locus115
1	1	13	13	23	18	-9	13	-9	22	14	22	16	13	38	23	17	33	22	16	15	-9	27	26	-9	16	-9	-9	-9	-9	14	-9	19	20	-9	27	14	17	25	-9	26	40	17	25	15	14	29	20	9	18	-9	14	12	30	22	-9	13	14	-9	13	24	13	13	23	-9	15	21	-9	20	39	25	-9	14	22	15	31	31	16	13	24	25	20	30	13	13	-9	20	19	-9	13	46	-9	17	15	14	37	16	11	29	29	24	13	-9	-9	13	16	21	17	23	13	17	40	30	13	22	29	20
1	1	13	13	23	18	-9	13	-9	22	14	22	16	13	38	23	17	33	22	16	15	-9	27	26	-9	16	-9	-9	-9	-9	14	-9	19	20	-9	27	14	17	25	-9	26	40	17	25	15	14	29	20	9	18	-9	14	12	30	22	-9	13	14	-9	13	24	13	13	23	-9	15	21	-9	20	39	25	-9	14	22	15	31	31	16	13	24	25	20	30	13	13	-9	20	19	-9	13	46	-9	17	15	14	37	16	11	29	29	24	13	-9	-9	13	16	21	17	23	13	17	40	30	13	22	29	20
2	1	13	13	27	-9	19	13	22	22	-9	22	16	13	-9	27	19	33	-9	16	15	-9	27	-9	18	16	14	-9	-9	18	14	14	15	20	28	-9	-9	17	25	23	26	40	17	25	15	14	43	20	9	18	-9	15	12	30	22	28	13	14	15	-9	24	13	13	-9	32	15	21	17	20	35	25	-9	16	22	15	31	-9	14	13	24	29	20	26	13	13	19	18	19	34	-9	28	15	17	15	-9	37	16	-9	29	23	-9	13	14	15	-9	16	21	17	23	13	17	-9	30	-9	22	29	20
2	1	13	13	27	-9	19	13	22	22	-9	22	16	13	-9	27	19	33	-9	16	15	-9	27	-9	18	16	14	-9	-9	18	14	14	15	20	28	-9	-9	17	25	23	26	40	17	25	15	14	43	20	9	18	-9	15	12	30	22	28	13	14	15	-9	24	13	13	-9	32	15	21	17	20	35	25	-9	16	22	15	31	-9	14	13	24	29	20	26	13	13	19	18	19	34	-9	28	15	17	15	-9	37	16	-9	29	23	-9	13	14	15	-9	16	21	17	23	13	17	-9	30	-9	22	29	20
3	1	11	13	27	18	19	13	-9	22	14	22	16	11	-9	-9	17	33	24	16	15	15	27	26	18	16	16	-9	14	-9	14	14	17	20	28	27	14	17	25	23	26	-9	17	25	15	14	43	20	13	16	19	15	-9	30	22	-9	13	14	15	11	-9	13	13	23	-9	15	-9	17	20	39	-9	12	14	22	15	31	-9	-9	13	-9	29	20	26	13	13	19	18	19	34	15	28	15	19	13	14	33	16	11	-9	-9	24	13	14	13	-9	18	21	19	23	13	17	32	30	13	22	29	20
3	1	11	13	27	18	19	13	-9	22	14	22	16	11	-9	-9	17	33	24	16	15	15	27	26	18	16	16	-9	14	-9	14	14	17	20	28	27	14	17	25	23	26	-9	17	25	15	14	43	20	13	16	19	15	-9	30	22	-9	13	14	15	11	-9	13	13	23	-9	15	-9	17	20	39	-9	12	14	22	15	31	-9	-9	13	-9	29	20	26	13	13	19	18	19	34	15	28	15	19	13	14	33	16	11	-9	-9	24	13	14	13	-9	18	21	19	23	13	17	32	30	13	22	29	20
4	1	11	-9	-9	18	19	13	-9	22	14	22	16	-9	38	23	19	-9	24	16	15	15	27	-9	18	-9	-9	14	14	18	-9	-9	17	20	28	-9	-9	17	25	23	26	40	17	-9	15	14	43	20	13	-9	-9	15	-9	-9	-9	28	11	-9	-9	13	24	13	13	-9	-9	15	21	17	20	35	25	-9	14	-9	-9	31	27	16	13	-9	-9	20	26	13	13	23	-9	-9	34	13	28	15	-9	15	14	37	16	11	29	29	24	13	14	13	13	-9	21	19	23	-9	17	-9	30	13	22	29	20
4	1	11	-9	-9	18	19	13	-9	22	14	22	16	-9	38	23	19	-9	24	16	15	15	27	-9	18	-9	-9	14	14	18	-9	-9	17	20	28	-9	-9	17	25	23	26	40	17	-9	15	14	43	20	13	-9	-9	15	-9	-9	-9	28	11	-9	-9	13	24	13	13	-9	-9	15	21	17	20	35	25	-9	14	-9	-9	31	27	16	13	-9	-9	20	26	13	13	23	-9	-9	34	13	28	15	-9	15	14	37	16	11	29	29	24	13	14	13	13	-9	21	19	23	-9	17	-9	30	13	22	29	20
5	1	11	13	27	18	-9	13	22	22	12	22	16	11	38	23	19	33	24	16	9	17	27	-9	-9	16	16	14	14	18	14	14	17	20	28	27	12	17	25	22	26	40	17	25	15	14	-9	-9	13	18	-9	14	-9	30	22	-9	13	-9	17	13	24	13	13	-9	-9	15	21	17	20	35	25	-9	14	22	-9	31	31	14	13	24	29	20	30	13	13	19	18	19	-9	15	-9	15	17	15	14	37	16	21	29	23	24	13	14	15	13	16	21	15	23	13	17	40	-9	13	22	-9	20
5	1	11	13	27	18	-9	13	22	22	12	22	16	11	38	23	19	33	24	16	9	17	27	-9	-9	16	16	14	14	18	14	14	17	20	28	27	12	17	25	22	26	40	17	25	15	14	-9	-9	13	18	-9	14	-9	30	22	-9	13	-9	17	13	24	13	13	-9	-9	15	21	17	20	35	25	-9	14	22	-9	31	31	14	13	24	29	20	30	13	13	19	18	19	-9	15	-9	15	17	15	14	37	16	21	29	23	24	13	14	15	13	16	21	15	23	13	17	40	-9	13	22	-9	20
